task_index	fresh_model_index	grid_model_index	model_label	mass_factor	envelope_amax_um	envelope_size_exponent	anchor_ordinal	anchor_tag	region	bin_index	wavelength_um	wavelength_token	instrument	boundary_compromise	spatial_config	zoom_token	nx	ny	expected_fov_au	expected_pixel_au	expected_cdelt_deg	psf_fwhm_arcsec	wavelength_file	wavelength_file_sha256	seed	sed_photons	parameter	parameter_sha256	temperature_task_index	temperature_workdir	task_workdir
10	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w000/strict_continuum_anchor.lambda	958b10dda90471bb610395d7fe4ffc4a8c52cf9552775fb9f72f08df4d0897c3	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t010_m2p00_a0p40_q3p50_i0p05_w000
11	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	1	w001	near_ir_short	21	1.2028117593024095	1.2028117593024095	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.039692788056979511	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w001/strict_continuum_anchor.lambda	03eac41388c201eb0d3587e76e6cdbb0a254d084dea08a854af129f7798c686d	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t011_m2p00_a0p40_q3p50_i0p05_w001
12	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	2	w002	near_ir_short	43	1.4987957445436022	1.4987957445436022	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.049460259569938873	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w002/strict_continuum_anchor.lambda	5e5ede487ce8e28395d8732fcd14cbdcf044a502bbc451f3e32a4d760288e0ce	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t012_m2p00_a0p40_q3p50_i0p05_w002
13	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	3	w003	near_ir_rise	59	1.7588530996181813	1.7588530996181813	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.058042152287399985	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w003/strict_continuum_anchor.lambda	6096fee96dea6c68611a03b186f6797670dfd3a73c98ffae6e4e90e535aa1aee	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t013_m2p00_a0p40_q3p50_i0p05_w003
14	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	4	w004	near_ir_rise	81	2.1916659199557045	2.1916659199557045	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.072324975358538254	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w004/strict_continuum_anchor.lambda	adcd8c330cb64fdf6cd13feaf0fe06ed6c9726df6e30e2a5ad9b3c488f684d87	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t014_m2p00_a0p40_q3p50_i0p05_w004
15	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	5	w005	near_ir_rise	96	2.546352514425122	2.546352514425122	NIRSpec	true	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.084029632976029028	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w005/strict_continuum_anchor.lambda	91d915d166c5e6bb5cb007f0659a7d85b73c54677f8d267a3239a12d70dd3290	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t015_m2p00_a0p40_q3p50_i0p05_w005
16	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	6	w006	window_3p9	139	3.9143995604061015	3.9143995604061015	NIRSpec	true	support_zoom_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	0.12917518549340135	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w006/strict_continuum_anchor.lambda	3f9b717a21e711e16c54ebd68a2308d823da5c67f37df6ad2ddbe13da82b8010	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t016_m2p00_a0p40_q3p50_i0p05_w006
17	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	7	w007	window_5p4	171	5.3906283153397085	5.3906283153397085	MIRI	false	support_zoom_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	0.28389073440621038	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w007/strict_continuum_anchor.lambda	5f63ad070f3c845a8f617a8a81a0c499df4a74529835dbb910e3bc7165189b12	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t017_m2p00_a0p40_q3p50_i0p05_w007
18	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	8	w008	window_13p8	265	13.799908320389276	13.799908320389276	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	0.5613969745728461	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w008/strict_continuum_anchor.lambda	5797e825e4c6cd5a59e2cc5a5e36940d0ba149f20340a55934be09f172095b37	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t018_m2p00_a0p40_q3p50_i0p05_w008
19	1	1	m2p00_a0p40_q3p50_i0p05	2.00	0.40	3.50	9	w009	window_27p5	334	27.513091575690556	27.513091575690556	MIRI	false	zoom_n1201	3.9933471945199667	1201	1201	1502.4989583259237	1.2510399319949406	2.4822220872915486e-06	1.0139320219977885	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w009/strict_continuum_anchor.lambda	02feaf67a3a60f2699c2d37af292482df3aaf64119571c73370a59f2c2945f23	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/disk_envelope_m2p00_a0p40_q3p50_i0p05_rt.para	5e828314e0b4e007b2399e11922eb18100db14c3dca6b24d2b9ecd4b0b3e95c8	1	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p50_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t019_m2p00_a0p40_q3p50_i0p05_w009
20	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	0	w000	near_ir_short	2	0.9946761707696127	0.9946761707696127	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.032824313635397222	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w000/strict_continuum_anchor.lambda	958b10dda90471bb610395d7fe4ffc4a8c52cf9552775fb9f72f08df4d0897c3	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t020_m2p00_a0p40_q3p75_i0p05_w000
21	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	1	w001	near_ir_short	21	1.2028117593024095	1.2028117593024095	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.039692788056979511	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w001/strict_continuum_anchor.lambda	03eac41388c201eb0d3587e76e6cdbb0a254d084dea08a854af129f7798c686d	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t021_m2p00_a0p40_q3p75_i0p05_w001
22	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	2	w002	near_ir_short	43	1.4987957445436022	1.4987957445436022	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.049460259569938873	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w002/strict_continuum_anchor.lambda	5e5ede487ce8e28395d8732fcd14cbdcf044a502bbc451f3e32a4d760288e0ce	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t022_m2p00_a0p40_q3p75_i0p05_w002
23	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	3	w003	near_ir_rise	59	1.7588530996181813	1.7588530996181813	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.058042152287399985	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w003/strict_continuum_anchor.lambda	6096fee96dea6c68611a03b186f6797670dfd3a73c98ffae6e4e90e535aa1aee	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t023_m2p00_a0p40_q3p75_i0p05_w003
24	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	4	w004	near_ir_rise	81	2.1916659199557045	2.1916659199557045	NIRSpec	false	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.072324975358538254	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w004/strict_continuum_anchor.lambda	adcd8c330cb64fdf6cd13feaf0fe06ed6c9726df6e30e2a5ad9b3c488f684d87	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t024_m2p00_a0p40_q3p75_i0p05_w004
25	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	5	w005	near_ir_rise	96	2.546352514425122	2.546352514425122	NIRSpec	true	full_n2401	1	2401	2401	6000	2.4989587671803415	4.9582515221832172e-06	0.084029632976029028	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w005/strict_continuum_anchor.lambda	91d915d166c5e6bb5cb007f0659a7d85b73c54677f8d267a3239a12d70dd3290	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t025_m2p00_a0p40_q3p75_i0p05_w005
26	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	6	w006	window_3p9	139	3.9143995604061015	3.9143995604061015	NIRSpec	true	support_zoom_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	0.12917518549340135	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w006/strict_continuum_anchor.lambda	3f9b717a21e711e16c54ebd68a2308d823da5c67f37df6ad2ddbe13da82b8010	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t026_m2p00_a0p40_q3p75_i0p05_w006
27	2	2	m2p00_a0p40_q3p75_i0p05	2.00	0.40	3.75	7	w007	window_5p4	171	5.3906283153397085	5.3906283153397085	MIRI	false	support_zoom_n2401	1.9975051980918284	2401	2401	3003.7468767198525	1.2510399319949406	2.4822220872915486e-06	0.28389073440621038	jwst_mcfost/runs/strict_continuum_3d_q_v1/anchors/w007/strict_continuum_anchor.lambda	5f63ad070f3c845a8f617a8a81a0c499df4a74529835dbb910e3bc7165189b12	41001	128000	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/disk_envelope_m2p00_a0p40_q3p75_i0p05_rt.para	2d7072183fcc82d1ddf9007f64d79ea889fba8600bbe2aa1f2cc0795607b2edc	2	jwst_mcfost/runs/strict_continuum_3d_q_v1/models/m2p00_a0p40_q3p75_i0p05/temperature	jwst_mcfost/runs/strict_continuum_3d_q_v1/rt_tasks/t027_m2p00_a0p40_q3p75_i0p05_w007
