model_index	model_label	mass_factor	envelope_dust_mass_msun	cavity_tag	requested_half_opening_deg	cavity_h0_token	cavity_r0_token	cavity_exponent_token	emptied_polar_center_rows	envelope_amax_um	envelope_size_exponent	envelope_ice_fraction	inclination_deg	mdot_token	temperature_parameter	temperature_parameter_sha256	rt_parameter	rt_parameter_sha256
11	m2p25_c17p5_a0p40_q3p25_i0p05	2.25	0.000225	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p25_c17p5_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p25_c17p5_a0p40_q3p25_i0p05_rt.para	238130d76387998290b360c7dc68c330824e95e48a1cd2a70c2625f90e1c986c
12	m2p25_c20p0_a0p40_q3p25_i0p05	2.25	0.000225	c20p0	20.0	274.7	100	1.0	4	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c20p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c20p0_a0p40_q3p25_i0p05_rt.para	238130d76387998290b360c7dc68c330824e95e48a1cd2a70c2625f90e1c986c
13	m2p25_c22p0_a0p40_q3p25_i0p05	2.25	0.000225	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c22p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c22p0_a0p40_q3p25_i0p05_rt.para	238130d76387998290b360c7dc68c330824e95e48a1cd2a70c2625f90e1c986c
14	m2p25_c24p0_a0p40_q3p25_i0p05	2.25	0.000225	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c24p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c24p0_a0p40_q3p25_i0p05_rt.para	238130d76387998290b360c7dc68c330824e95e48a1cd2a70c2625f90e1c986c
15	m2p50_c15p0_a0p40_q2p75_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c15p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c15p0_a0p40_q2p75_i0p05_rt.para	7f2412f80d205e547c990b6aea200b815cf24812d82492e82fc01650798fd1f9
16	m2p50_c17p5_a0p40_q2p75_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p50_c17p5_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p50_c17p5_a0p40_q2p75_i0p05_rt.para	7f2412f80d205e547c990b6aea200b815cf24812d82492e82fc01650798fd1f9
17	m2p50_c20p0_a0p40_q2p75_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c20p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c20p0_a0p40_q2p75_i0p05_rt.para	7f2412f80d205e547c990b6aea200b815cf24812d82492e82fc01650798fd1f9
18	m2p50_c22p0_a0p40_q2p75_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c22p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c22p0_a0p40_q2p75_i0p05_rt.para	7f2412f80d205e547c990b6aea200b815cf24812d82492e82fc01650798fd1f9
19	m2p50_c24p0_a0p40_q2p75_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c24p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c24p0_a0p40_q2p75_i0p05_rt.para	7f2412f80d205e547c990b6aea200b815cf24812d82492e82fc01650798fd1f9
20	m2p50_c15p0_a0p40_q3p00_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p00_i0p05_rt.para	53cd0c4fcf87840ff3b34a3725bb6ab85485d3e25fd81de2d46d328f30b5dc2a
21	m2p50_c17p5_a0p40_q3p00_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p00_i0p05_rt.para	53cd0c4fcf87840ff3b34a3725bb6ab85485d3e25fd81de2d46d328f30b5dc2a
22	m2p50_c20p0_a0p40_q3p00_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p00_i0p05_rt.para	53cd0c4fcf87840ff3b34a3725bb6ab85485d3e25fd81de2d46d328f30b5dc2a
23	m2p50_c22p0_a0p40_q3p00_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p00_i0p05_rt.para	53cd0c4fcf87840ff3b34a3725bb6ab85485d3e25fd81de2d46d328f30b5dc2a
24	m2p50_c24p0_a0p40_q3p00_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p00_i0p05_rt.para	53cd0c4fcf87840ff3b34a3725bb6ab85485d3e25fd81de2d46d328f30b5dc2a
25	m2p50_c15p0_a0p40_q3p25_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50
26	m2p50_c17p5_a0p40_q3p25_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50
27	m2p50_c20p0_a0p40_q3p25_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50
28	m2p50_c22p0_a0p40_q3p25_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50
29	m2p50_c24p0_a0p40_q3p25_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p25_i0p05_rt.para	b3ebb54335858536f9695d1472e4aaa2ec9dc03a950d4932da76168c66570f50
30	m2p75_c15p0_a0p40_q2p75_i0p05	2.75	0.000275	c15p0	15.0	373.205080756888	100	1.0	2	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c15p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c15p0_a0p40_q2p75_i0p05_rt.para	941d8d2bf2ed21f834445df8d16508737a96918661cfc5f16afe5b72e743e026
31	m2p75_c17p5_a0p40_q2p75_i0p05	2.75	0.000275	c17p5	17.5	317.159480236321	100	1.0	3	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p75_c17p5_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p75_c17p5_a0p40_q2p75_i0p05_rt.para	941d8d2bf2ed21f834445df8d16508737a96918661cfc5f16afe5b72e743e026
32	m2p75_c20p0_a0p40_q2p75_i0p05	2.75	0.000275	c20p0	20.0	274.7	100	1.0	4	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c20p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c20p0_a0p40_q2p75_i0p05_rt.para	941d8d2bf2ed21f834445df8d16508737a96918661cfc5f16afe5b72e743e026
33	m2p75_c22p0_a0p40_q2p75_i0p05	2.75	0.000275	c22p0	22.0	247.508685341630	100	1.0	5	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c22p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c22p0_a0p40_q2p75_i0p05_rt.para	941d8d2bf2ed21f834445df8d16508737a96918661cfc5f16afe5b72e743e026
34	m2p75_c24p0_a0p40_q2p75_i0p05	2.75	0.000275	c24p0	24.0	224.603677390422	100	1.0	6	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c24p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c24p0_a0p40_q2p75_i0p05_rt.para	941d8d2bf2ed21f834445df8d16508737a96918661cfc5f16afe5b72e743e026
35	m2p75_c15p0_a0p40_q3p00_i0p05	2.75	0.000275	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c15p0_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c15p0_a0p40_q3p00_i0p05_rt.para	6b2099340c5f53fb19f052cd8a4b4a8067be0895c443c09d399997e0a0df40bb
36	m2p75_c17p5_a0p40_q3p00_i0p05	2.75	0.000275	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p75_c17p5_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p75_c17p5_a0p40_q3p00_i0p05_rt.para	6b2099340c5f53fb19f052cd8a4b4a8067be0895c443c09d399997e0a0df40bb
