task_index	model_index	model_label	mass_factor	envelope_dust_mass_msun	cavity_tag	requested_half_opening_deg	cavity_h0_token	cavity_r0_token	cavity_exponent_token	emptied_polar_center_rows	envelope_amax_um	envelope_size_exponent	envelope_ice_fraction	inclination_deg	mdot_token	parameter	parameter_sha256	task_workdir
10	10	m2p25_c15p0_a0p40_q3p25_i0p05	2.25	0.000225	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c15p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c15p0_a0p40_q3p25_i0p05/temperature
11	11	m2p25_c17p5_a0p40_q3p25_i0p05	2.25	0.000225	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p25_c17p5_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c17p5_a0p40_q3p25_i0p05/temperature
12	12	m2p25_c20p0_a0p40_q3p25_i0p05	2.25	0.000225	c20p0	20.0	274.7	100	1.0	4	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c20p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c20p0_a0p40_q3p25_i0p05/temperature
13	13	m2p25_c22p0_a0p40_q3p25_i0p05	2.25	0.000225	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c22p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c22p0_a0p40_q3p25_i0p05/temperature
14	14	m2p25_c24p0_a0p40_q3p25_i0p05	2.25	0.000225	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p25_c24p0_a0p40_q3p25_i0p05_temperature.para	f3968d13cb4351723893f2d9d3b8b7ff6146506b70906780236584434c35f602	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p25_c24p0_a0p40_q3p25_i0p05/temperature
15	15	m2p50_c15p0_a0p40_q2p75_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c15p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q2p75_i0p05/temperature
16	16	m2p50_c17p5_a0p40_q2p75_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p50_c17p5_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q2p75_i0p05/temperature
17	17	m2p50_c20p0_a0p40_q2p75_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c20p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q2p75_i0p05/temperature
18	18	m2p50_c22p0_a0p40_q2p75_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c22p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q2p75_i0p05/temperature
19	19	m2p50_c24p0_a0p40_q2p75_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p50_c24p0_a0p40_q2p75_i0p05_temperature.para	10f393ec4a8e8ff63a7363fee1869613fbaac6b8be6d98ba4c85adf9611122b2	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q2p75_i0p05/temperature
20	20	m2p50_c15p0_a0p40_q3p00_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p00_i0p05/temperature
21	21	m2p50_c17p5_a0p40_q3p00_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p00_i0p05/temperature
22	22	m2p50_c20p0_a0p40_q3p00_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p00_i0p05/temperature
23	23	m2p50_c22p0_a0p40_q3p00_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p00_i0p05/temperature
24	24	m2p50_c24p0_a0p40_q3p00_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p00_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p00_i0p05_temperature.para	cca76f40a59f1fc3f5d02d5fd6d7cf4368919dc3104556b44c31d7a5b6b1ef97	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p00_i0p05/temperature
25	25	m2p50_c15p0_a0p40_q3p25_i0p05	2.50	0.00025	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c15p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c15p0_a0p40_q3p25_i0p05/temperature
26	26	m2p50_c17p5_a0p40_q3p25_i0p05	2.50	0.00025	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p50_c17p5_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c17p5_a0p40_q3p25_i0p05/temperature
27	27	m2p50_c20p0_a0p40_q3p25_i0p05	2.50	0.00025	c20p0	20.0	274.7	100	1.0	4	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c20p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c20p0_a0p40_q3p25_i0p05/temperature
28	28	m2p50_c22p0_a0p40_q3p25_i0p05	2.50	0.00025	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c22p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c22p0_a0p40_q3p25_i0p05/temperature
29	29	m2p50_c24p0_a0p40_q3p25_i0p05	2.50	0.00025	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p50_c24p0_a0p40_q3p25_i0p05_temperature.para	caaa7e7bf73f3a1b0c435ba202d8ab3bc6481e4921695f9297d6544478eb5a57	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p50_c24p0_a0p40_q3p25_i0p05/temperature
30	30	m2p75_c15p0_a0p40_q2p75_i0p05	2.75	0.000275	c15p0	15.0	373.205080756888	100	1.0	2	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c15p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q2p75_i0p05/temperature
31	31	m2p75_c17p5_a0p40_q2p75_i0p05	2.75	0.000275	c17p5	17.5	317.159480236321	100	1.0	3	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q2p75_i0p05/disk_envelope_m2p75_c17p5_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q2p75_i0p05/temperature
32	32	m2p75_c20p0_a0p40_q2p75_i0p05	2.75	0.000275	c20p0	20.0	274.7	100	1.0	4	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c20p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q2p75_i0p05/temperature
33	33	m2p75_c22p0_a0p40_q2p75_i0p05	2.75	0.000275	c22p0	22.0	247.508685341630	100	1.0	5	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c22p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q2p75_i0p05/temperature
34	34	m2p75_c24p0_a0p40_q2p75_i0p05	2.75	0.000275	c24p0	24.0	224.603677390422	100	1.0	6	0.40	2.75	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q2p75_i0p05/disk_envelope_m2p75_c24p0_a0p40_q2p75_i0p05_temperature.para	6cdcc46c599747d442a723baa2d68e3d70161d38c944e17750d540f8e7d93cfb	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q2p75_i0p05/temperature
35	35	m2p75_c15p0_a0p40_q3p00_i0p05	2.75	0.000275	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c15p0_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p00_i0p05/temperature
36	36	m2p75_c17p5_a0p40_q3p00_i0p05	2.75	0.000275	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p00_i0p05/disk_envelope_m2p75_c17p5_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p00_i0p05/temperature
37	37	m2p75_c20p0_a0p40_q3p00_i0p05	2.75	0.000275	c20p0	20.0	274.7	100	1.0	4	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c20p0_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q3p00_i0p05/temperature
38	38	m2p75_c22p0_a0p40_q3p00_i0p05	2.75	0.000275	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c22p0_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q3p00_i0p05/temperature
39	39	m2p75_c24p0_a0p40_q3p00_i0p05	2.75	0.000275	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.00	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q3p00_i0p05/disk_envelope_m2p75_c24p0_a0p40_q3p00_i0p05_temperature.para	0afcb3b9a8fcdae84a469363c7157fdf1db2edc29a03ac87aeeb5a83edc359de	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q3p00_i0p05/temperature
40	40	m2p75_c15p0_a0p40_q3p25_i0p05	2.75	0.000275	c15p0	15.0	373.205080756888	100	1.0	2	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p25_i0p05/disk_envelope_m2p75_c15p0_a0p40_q3p25_i0p05_temperature.para	90fdab4f8a4bd9090fd910d42301983bf5d4e4d01ae17d1d010343c66b425f5e	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c15p0_a0p40_q3p25_i0p05/temperature
41	41	m2p75_c17p5_a0p40_q3p25_i0p05	2.75	0.000275	c17p5	17.5	317.159480236321	100	1.0	3	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p25_i0p05/disk_envelope_m2p75_c17p5_a0p40_q3p25_i0p05_temperature.para	90fdab4f8a4bd9090fd910d42301983bf5d4e4d01ae17d1d010343c66b425f5e	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c17p5_a0p40_q3p25_i0p05/temperature
42	42	m2p75_c20p0_a0p40_q3p25_i0p05	2.75	0.000275	c20p0	20.0	274.7	100	1.0	4	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q3p25_i0p05/disk_envelope_m2p75_c20p0_a0p40_q3p25_i0p05_temperature.para	90fdab4f8a4bd9090fd910d42301983bf5d4e4d01ae17d1d010343c66b425f5e	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c20p0_a0p40_q3p25_i0p05/temperature
43	43	m2p75_c22p0_a0p40_q3p25_i0p05	2.75	0.000275	c22p0	22.0	247.508685341630	100	1.0	5	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q3p25_i0p05/disk_envelope_m2p75_c22p0_a0p40_q3p25_i0p05_temperature.para	90fdab4f8a4bd9090fd910d42301983bf5d4e4d01ae17d1d010343c66b425f5e	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c22p0_a0p40_q3p25_i0p05/temperature
44	44	m2p75_c24p0_a0p40_q3p25_i0p05	2.75	0.000275	c24p0	24.0	224.603677390422	100	1.0	6	0.40	3.25	0.05	70.0	7.3011756855e-08	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q3p25_i0p05/disk_envelope_m2p75_c24p0_a0p40_q3p25_i0p05_temperature.para	90fdab4f8a4bd9090fd910d42301983bf5d4e4d01ae17d1d010343c66b425f5e	jwst_mcfost/runs/strict_continuum_cavity_mass_q_v1/models/m2p75_c24p0_a0p40_q3p25_i0p05/temperature
